ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_set
2026-06-14T10:43:21.150Z,test_29-pool2.6-magcal2,true,0.00,15.81,false,false,false,false,false,none,1000,1000,1627,1000,1461,-2.7,53.0,1720,false,off,1608,false,true,39.1,52.8,205396,38.846470,-77.161972,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.97,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,10,true,1330,12,4204574309,0.1,437,false
2026-06-14T10:43:22.150Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,false,none,1000,1000,1617,1000,1529,-2.7,53.0,1720,false,off,1629,false,true,41.5,55.1,205400,38.846466,-77.161972,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.57,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1330,12,4204574309,0.1,438,false
2026-06-14T10:43:23.184Z,test_29-pool2.6-magcal2,true,0.00,15.75,false,false,false,false,false,none,1000,1000,1628,1000,1529,-2.7,53.0,1720,false,off,1629,false,true,44.4,58.1,205396,38.846470,-77.161964,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.15,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1330,12,4204574309,0.4,439,false
2026-06-14T10:43:24.151Z,test_29-pool2.6-magcal2,true,0.00,15.73,false,false,false,false,false,none,1000,1000,1500,1000,1529,-2.7,53.0,1720,false,off,1629,false,true,39.5,53.1,205396,38.846470,-77.161964,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.26,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1330,12,4204574309,0.4,440,false
2026-06-14T10:43:25.334Z,test_29-pool2.6-magcal2,true,-0.00,15.80,false,false,false,false,false,none,1000,1000,1500,1000,1529,-2.7,23.0,1720,false,off,1629,false,true,22.5,36.1,205400,38.846474,-77.161964,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.71,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1330,12,4204574309,0.7,442,false
2026-06-14T10:43:26.168Z,test_29-pool2.6-magcal2,true,0.00,15.73,false,false,false,false,false,none,1000,1000,1500,1000,1529,-2.7,358.4,1720,false,off,1629,false,true,7.3,21.0,205408,38.846478,-77.161964,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.79,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1330,12,4204574309,0.8,442,false
2026-06-14T10:43:27.335Z,test_29-pool2.6-magcal2,true,0.00,15.80,false,false,false,false,false,none,1000,1000,1518,1000,1529,-2.7,343.4,1720,false,off,1629,false,true,343.0,356.7,205412,38.846481,-77.161964,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.68,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1330,12,4204574309,0.7,444,false
2026-06-14T10:43:28.301Z,test_29-pool2.6-magcal2,true,-0.00,15.74,false,false,false,false,false,none,1000,1000,1504,1000,1529,-2.7,326.2,1720,false,off,1629,false,true,322.6,336.2,205408,38.846485,-77.161972,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.60,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1330,12,4204574309,0.8,444,false
2026-06-14T10:43:29.251Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1500,1000,1529,-2.7,310.1,1720,false,off,1629,false,true,302.4,316.1,205408,38.846485,-77.161972,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.70,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1330,12,4204574309,0.8,445,false
2026-06-14T10:43:30.168Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1501,1000,1529,-2.7,290.0,1720,false,off,1629,false,true,284.5,298.2,205396,38.846489,-77.161980,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.14,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1330,12,4204574309,0.9,446,false
2026-06-14T10:43:31.302Z,test_29-pool2.6-magcal2,true,0.00,15.72,false,false,false,false,false,none,1000,1000,1500,1609,1529,-2.7,274.1,1720,false,off,1646,false,true,260.7,274.3,205396,38.846485,-77.161987,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.00,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1537,12,4204574309,0.7,447,false
2026-06-14T10:43:32.219Z,test_29-pool2.6-magcal2,true,0.00,15.80,false,false,false,false,false,none,1000,1000,1500,1609,1529,-2.7,250.9,1720,false,off,1646,false,true,237.1,250.7,205408,38.846485,-77.161995,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.41,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1537,12,4204574309,0.9,448,false
2026-06-14T10:43:33.209Z,test_29-pool2.6-magcal2,true,0.00,15.76,false,false,false,false,false,none,1000,1000,1500,1609,1529,-2.7,242.5,1720,false,off,1646,false,true,223.6,237.3,205408,38.846481,-77.162003,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.26,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1537,12,4204574309,1.2,449,false
2026-06-14T10:43:34.132Z,test_29-pool2.6-magcal2,true,0.00,15.73,false,false,false,false,false,none,1000,1000,1500,1609,1529,-1.7,242.5,1720,false,off,1646,false,true,222.3,235.1,205396,38.846481,-77.162003,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.43,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1537,12,4204574309,1.2,450,false
2026-06-14T10:44:14.417Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,130.3,139.1,205408,38.846325,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.17,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1537,12,4204574309,0.2,491,false
2026-06-14T10:44:15.526Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,127.3,136.2,205412,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.92,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1537,12,4204574309,0.2,492,false
