ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gps_simulated,heading,heap,lat,lon,mag_baseline_uT,mag_cal_progress,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-05T15:39:51.254Z,test_29-pool2.1-magcal,true,0.00,15.93,false,false,false,false,false,none,1000,1000,1500,1000,2000,331.4,1620,false,15988,2.67,run,1689,false,true,false,298.9,206480,38.785606,-76.221695,27.70,100,done,138,true,true,-54.67,1.05,-34.80,23.18,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1330,12,1557232302,1.3,1228,27.1,14.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:39:52.304Z,test_29-pool2.1-magcal,true,0.00,15.94,false,false,false,false,false,none,1000,1000,1500,1000,2000,331.4,1620,false,16774,2.67,run,1689,false,true,false,295.0,206016,38.785606,-76.221695,27.70,100,done,138,true,true,-54.67,1.05,-34.80,20.77,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1330,12,1557232302,1.3,1229,27.1,14.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:39:56.939Z,test_29-pool2.1-magcal,true,0.00,15.86,false,false,false,false,false,none,1000,1000,1502,1000,2000,297.6,1620,false,1308,2.71,run,1689,false,true,false,265.8,201436,38.785625,-76.221733,27.70,100,done,138,true,true,-54.67,1.05,-34.80,29.60,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1330,12,1557232302,1.4,1233,43.0,14.5,38.785721,-76.221619,true,38.785297,-76.221962
