ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_set
2026-06-14T10:38:30.843Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,214.2,225.2,205420,38.846519,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.80,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.0,147,false
2026-06-14T10:38:31.893Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,214.9,225.9,205392,38.846519,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.21,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.0,148,false
2026-06-14T10:38:32.872Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,216.4,227.4,205400,38.846519,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.96,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.0,149,false
2026-06-14T10:38:33.906Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,217.0,228.0,205404,38.846523,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.62,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.0,150,false
2026-06-14T10:38:34.939Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,217.9,228.9,205408,38.846523,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.72,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.0,151,false
2026-06-14T10:38:35.856Z,test_29-pool2.6-magcal2,true,-0.00,15.90,false,false,false,false,false,none,0,0,0,0,0,0.0,170.5,1720,false,off,1500,false,true,219.2,230.2,205388,38.846523,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.70,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,0,false,1500,12,4204574309,0.1,152,false
2026-06-14T10:38:36.889Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,219.1,230.1,205420,38.846527,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.09,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,4204574309,0.0,153,false
2026-06-14T10:38:37.923Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,220.2,231.2,205408,38.846527,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.38,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,4204574309,0.1,154,false
2026-06-14T10:38:38.923Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,219.8,230.8,205408,38.846527,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.30,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,4204574309,0.1,155,false
2026-06-14T10:38:39.840Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,220.0,231.0,205416,38.846527,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.36,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1465,12,4204574309,0.1,156,false
