ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T17:57:20.892Z,0.6.3,false,false,0.00,15.19,false,false,false,false,false,none,1000,1572,1000,1500,1669,1484,0.0,0.0,1720,false,off,1632,false,true,1428,176.7,187.7,145504,38.846588,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.85,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1557,5,129474922,0.2,42,,,,,false,,
2026-06-28T17:57:21.875Z,0.6.3,false,false,0.00,15.17,false,false,false,false,false,none,1000,1572,1000,1500,1686,1476,0.0,0.0,1720,false,off,1629,false,true,1428,183.5,194.5,145260,38.846588,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.59,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1563,5,129474922,0.2,43,,,,,false,,
2026-06-28T17:57:22.875Z,0.6.3,false,false,0.00,15.19,false,false,false,false,false,none,1000,1572,1000,1500,1760,1476,0.0,0.0,1720,false,off,1631,false,true,1428,186.9,197.9,145268,38.846584,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.01,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1588,5,129474922,0.5,44,,,,,false,,
2026-06-28T17:57:23.875Z,0.6.3,false,false,0.00,15.19,false,false,false,false,false,none,1000,1572,1000,1500,1888,1476,0.0,0.0,1720,false,off,1634,false,true,1428,192.8,203.8,145276,38.846581,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.33,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,1,true,1631,5,129474922,0.5,45,,,,,false,,
2026-06-28T17:57:24.892Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1572,1000,1500,1557,1477,0.0,0.0,1720,false,off,1626,false,true,1428,193.8,204.8,145280,38.846577,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.52,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,1,true,1519,5,129474922,0.7,46,,,,,false,,
2026-06-28T17:57:25.876Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1572,1000,1500,1557,1476,0.0,0.0,1720,false,off,1626,false,true,1428,201.9,212.9,145272,38.846573,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.08,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,1,true,1519,5,129474922,0.8,47,,,,,false,,
2026-06-28T17:57:26.876Z,0.6.3,false,false,0.00,15.18,false,false,false,false,false,none,1000,1572,1000,1500,1446,1476,0.0,0.0,1720,false,off,1624,false,true,1428,206.3,217.3,145280,38.846573,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.08,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1481,5,129474922,0.7,48,,,,,false,,
2026-06-28T17:57:27.876Z,0.6.3,false,false,0.00,15.17,false,false,false,false,false,none,1000,1572,1000,1500,1557,1476,0.0,0.0,1720,false,off,1626,false,true,1428,211.8,222.8,145252,38.846569,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.54,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,5,129474922,0.7,49,,,,,false,,
2026-06-28T17:57:28.870Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1572,1000,1500,1557,1476,0.0,0.0,1720,false,off,1626,false,true,1428,214.5,225.5,145272,38.846565,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.79,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,5,129474922,0.8,50,,,,,false,,
2026-06-28T17:57:29.890Z,0.6.3,false,false,-0.00,15.16,false,false,false,false,false,none,1000,1572,1000,1500,1557,1477,0.0,0.0,1720,false,off,1626,false,true,1428,215.4,226.4,145272,38.846561,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.80,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,5,129474922,1.0,51,,,,,false,,
