ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:04:35.612Z,0.6.5,false,false,0.00,15.15,false,false,false,false,false,none,1000,1500,1000,1501,1574,1481,0.8,152.8,1660,false,off,1628,false,true,1500,105.4,115.6,144360,38.846851,-77.167900,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.19,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,6,true,1525,10,3126961515,0.3,166,107.7,79.7,38.846634,-77.167023,true,,
2026-06-28T21:04:36.596Z,0.6.5,false,false,0.00,15.19,false,false,false,false,false,none,1000,1500,1000,1502,1574,1462,0.8,152.8,1660,false,off,1621,false,true,1500,107.6,117.8,144360,38.846851,-77.167900,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.36,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,3,true,1525,10,3126961515,0.5,167,107.7,79.7,38.846634,-77.167023,true,,
2026-06-28T21:04:37.596Z,0.6.5,false,false,0.00,15.18,false,false,false,false,false,none,1000,1500,1000,1501,1573,1455,0.8,152.8,1660,false,off,1619,false,true,1500,110.4,120.6,144360,38.846851,-77.167892,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.83,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,7,true,1524,11,3126961515,0.6,168,107.9,79.1,38.846634,-77.167023,true,,
2026-06-28T21:04:38.596Z,0.6.5,false,false,0.00,15.19,false,false,false,false,false,none,1000,1500,1000,1502,1573,1455,0.8,152.8,1660,false,off,1619,false,true,1500,113.0,123.2,144364,38.846848,-77.167892,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.05,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,4,true,1524,11,3126961515,0.5,169,107.6,79.0,38.846634,-77.167023,true,,
2026-06-28T21:04:39.613Z,0.6.5,false,false,0.00,15.17,false,false,false,false,false,none,1000,1500,1000,1502,1573,1456,0.8,152.8,1660,false,off,1619,false,true,1500,114.6,124.8,144360,38.846844,-77.167892,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.47,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,5,true,1524,11,3126961515,0.5,170,107.2,78.9,38.846634,-77.167023,true,,
2026-06-28T21:04:40.630Z,0.6.5,false,false,0.00,15.18,false,false,false,false,false,none,1000,1500,1000,1502,1573,1456,0.8,152.8,1660,false,off,1619,false,true,1500,116.3,126.5,144356,38.846840,-77.167892,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,3,true,1524,11,3126961515,0.5,171,107.0,78.7,38.846634,-77.167023,true,,
2026-06-28T21:04:41.613Z,0.6.5,false,false,0.00,15.18,false,false,false,false,false,none,1000,1500,1000,1501,1574,1456,0.8,152.8,1660,false,off,1619,false,true,1500,118.4,128.6,144360,38.846840,-77.167885,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,1,true,1525,11,3126961515,0.6,172,107.1,78.1,38.846634,-77.167023,true,,
2026-06-28T21:04:42.596Z,0.6.5,false,false,0.00,15.18,false,false,false,false,false,none,1000,1500,1000,1500,1801,1456,0.8,152.8,1660,false,off,1625,false,true,1500,120.5,130.7,144340,38.846836,-77.167885,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.61,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,1,true,1602,11,3126961515,0.4,173,107.0,78.0,38.846634,-77.167023,true,,
2026-06-28T21:04:43.597Z,0.6.5,false,false,-0.00,15.18,false,false,false,false,false,none,1000,1500,1000,1502,1940,1456,0.8,152.8,1660,false,off,1628,false,true,1500,121.8,132.0,144340,38.846836,-77.167885,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.55,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,7,true,1649,11,3126961515,0.5,174,107.0,78.0,38.846634,-77.167023,true,,
2026-06-28T21:04:44.613Z,0.6.5,false,false,0.00,15.15,false,false,false,false,false,none,1000,1500,1000,1500,1664,1487,0.8,152.8,1660,false,off,1633,false,true,1500,125.3,135.5,144340,38.846832,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.38,MANUAL,false,8.00,1.50,false,,false,off,,false,3,false,200,25,6,true,1555,11,3126961515,0.5,175,106.6,77.2,38.846634,-77.167023,true,,
