ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T19:39:17.836Z,0.5.2,false,0.00,15.21,false,false,false,false,false,none,1000,1493,1000,1502,1557,1550,0.0,,1660,false,off,1651,false,false,1500,119.1,130.1,153816,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.26,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1519,5,1755351024,,83,,,,,false,,
2026-06-27T19:39:18.836Z,0.5.2,false,0.00,15.21,false,false,false,false,false,none,1000,1493,1000,1502,1557,1543,0.0,,1660,false,off,1648,false,false,1500,120.0,131.0,153812,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.77,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,5,1755351024,,84,,,,,false,,
2026-06-27T19:39:19.836Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1493,1000,1500,1557,1476,0.0,,1660,false,off,1626,false,false,1500,120.1,131.1,153808,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.70,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,6,1755351024,,85,,,,,false,,
2026-06-27T19:39:20.853Z,0.5.2,false,0.00,15.21,false,false,false,false,false,none,1000,1493,1000,1500,1557,1564,0.0,,1660,false,off,1655,false,false,1500,121.1,132.1,153808,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.89,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,6,1755351024,,86,,,,,false,,
2026-06-27T19:39:21.837Z,0.5.2,false,-0.00,15.22,false,false,false,false,false,none,1000,1493,1000,1500,1557,1564,0.0,,1660,false,off,1655,false,false,1500,122.3,133.3,153804,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.66,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,6,1755351024,,87,,,,,false,,
2026-06-27T19:39:22.837Z,0.5.2,false,0.00,15.21,false,false,false,false,false,none,1000,1493,1000,1500,1557,1565,0.0,,1660,false,off,1656,false,false,1500,122.4,133.4,153780,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.94,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,6,1755351024,,88,,,,,false,,
2026-06-27T19:39:23.837Z,0.5.2,false,0.00,15.20,false,false,false,false,false,none,1000,1493,1000,1500,1557,1564,0.0,,1660,false,off,1655,false,false,1500,122.8,133.8,153800,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.96,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1519,6,1755351024,,89,,,,,false,,
2026-06-27T19:39:24.854Z,0.5.2,false,0.00,15.22,false,false,false,false,false,none,1000,1493,1000,1500,1557,1564,0.0,,1660,false,off,1655,false,false,1500,123.8,134.8,153820,,,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.10,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,6,1755351024,,90,,,,,false,,
2026-06-27T19:39:25.837Z,0.5.2,false,0.00,15.20,false,false,false,false,false,none,1000,1493,1000,1500,1837,1564,0.0,0.0,1660,false,off,1664,false,true,1500,123.2,134.2,153812,38.846813,-77.167770,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.48,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1614,6,1755351024,0.9,91,,,,,false,,
2026-06-27T19:39:26.837Z,0.5.2,false,0.00,15.16,false,false,false,false,false,none,1000,1493,1000,1500,1557,1564,0.0,0.0,1660,false,off,1655,false,true,1500,122.6,133.6,153812,38.846809,-77.167770,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.00,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,6,1755351024,0.8,92,,,,,false,,
2026-06-27T19:39:27.854Z,0.5.2,false,0.00,15.17,false,false,false,false,false,none,1000,1493,1000,1517,1000,1564,0.0,0.0,1660,false,off,1639,false,true,1500,132.2,143.2,153816,38.846809,-77.167763,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.62,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1330,6,1755351024,0.2,93,,,,,false,,
2026-06-27T19:39:28.838Z,0.5.2,false,0.00,15.18,false,false,false,false,false,none,1000,1493,1000,1501,1254,1564,0.0,0.0,1660,false,off,1647,false,true,1500,143.0,154.0,153812,38.846806,-77.167747,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.87,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1416,6,1755351024,0.5,94,,,,,false,,
2026-06-27T19:39:29.838Z,0.5.2,false,0.00,15.18,false,false,false,false,false,none,1000,1493,1000,1500,1745,1564,0.0,0.0,1660,false,off,1661,false,true,1500,139.5,150.5,153788,38.846802,-77.167740,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.51,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1583,6,1755351024,0.2,95,,,,,false,,
2026-06-27T19:39:30.838Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1493,1000,1500,1557,1476,0.0,0.0,1660,false,off,1626,false,true,1500,130.5,141.5,153784,38.846794,-77.167717,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.38,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,6,1755351024,0.6,96,,,,,false,,
2026-06-27T19:39:31.838Z,0.5.2,false,0.00,15.24,false,false,false,false,false,none,1000,1493,1000,1500,1557,1486,0.0,0.0,1660,false,off,1629,false,true,1500,130.1,141.1,153800,38.846790,-77.167694,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.14,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1519,6,1755351024,0.6,97,,,,,false,,
2026-06-27T19:39:32.838Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1493,1000,1500,1557,1000,0.0,0.0,1660,false,off,1500,false,true,1500,131.3,142.3,153800,38.846786,-77.167679,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.86,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,6,1755351024,0.5,98,,,,,false,,
2026-06-27T19:39:33.838Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1493,1000,1500,1557,1000,0.0,0.0,1660,false,off,1500,false,true,1500,133.3,144.3,153804,38.846779,-77.167664,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.11,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1519,6,1755351024,0.8,99,,,,,false,,
2026-06-27T19:39:34.838Z,0.5.2,false,0.00,15.28,false,false,false,false,false,none,1000,1493,1000,1500,1557,1000,0.0,0.0,1660,false,off,1500,false,true,1500,135.8,146.8,153792,38.846771,-77.167641,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.09,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1519,6,1755351024,0.8,100,,,,,false,,
2026-06-27T19:39:36.051Z,0.5.2,false,0.00,15.26,false,false,false,false,false,none,1000,1493,1000,1500,1557,1000,0.0,0.0,1660,false,off,1500,false,true,1500,137.9,148.9,153784,38.846760,-77.167633,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.11,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,6,1755351024,0.5,101,,,,,false,,
