ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-14T10:53:08.806Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,234.1,245.4,208508,38.846416,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.55,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,6,true,1537,12,4204574309,0.1,1025,135.5,38.7,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:09.965Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,231.9,243.2,208248,38.846416,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.01,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,8,true,1537,12,4204574309,0.1,1026,135.5,38.7,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:10.965Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,229.9,241.2,207996,38.846416,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.24,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1537,12,4204574309,0.2,1027,135.5,38.7,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:11.882Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,228.3,239.6,207756,38.846416,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.41,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,6,true,1537,12,4204574309,0.2,1028,135.5,38.7,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:12.832Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,227.0,238.3,207504,38.846413,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.89,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,8,true,1537,12,4204574309,0.2,1029,135.3,38.4,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:13.849Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,225.7,237.0,207240,38.846413,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.96,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,8,true,1537,12,4204574309,0.2,1030,135.3,38.4,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:14.982Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,224.7,236.0,206996,38.846413,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.02,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1537,12,4204574309,0.2,1031,135.3,38.4,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:15.899Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,true,distance,1000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,224.5,235.8,206724,38.846409,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.42,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1537,12,4204574309,0.1,1032,134.0,38.1,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:16.899Z,test_29-pool2.6-magcal2,true,-0.00,15.78,false,false,false,false,true,distance,2000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,false,true,223.9,235.2,206440,38.846409,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.60,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,5,true,1537,12,4204574309,0.1,1033,134.0,38.1,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:53:17.916Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,true,distance,2000,1000,1500,1609,1000,-0.3,323.9,1660,false,off,1500,true,true,223.1,234.3,206168,38.846405,-77.162155,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.61,FAILSAFE,true,8.00,3.00,false,,false,off,,false,3,false,200,25,5,true,1500,12,4204574309,0.1,1034,133.6,37.8,38.846169,-77.161842,true,38.846176,-77.162178
