ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gps_simulated,heading,heap,lat,lon,mag_baseline_uT,mag_cal_progress,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-05T15:26:05.937Z,test_29-pool2.1-magcal,true,-0.00,16.10,false,false,false,false,false,none,1000,1000,1500,1381,1526,32.8,1620,false,,,off,1592,false,true,false,271.6,202572,38.785328,-76.221954,27.70,100,done,138,true,true,-54.67,1.05,-34.80,20.19,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1459,12,1557232302,0.2,403,33.6,52.5,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:06.971Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,1500,1381,2000,32.8,1620,false,,,off,1705,false,true,false,268.1,202568,38.785328,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,19.00,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1459,12,1557232302,0.2,404,34.2,52.9,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:07.987Z,test_29-pool2.1-magcal,true,0.00,16.00,false,false,false,false,false,none,1000,1000,1500,1529,2000,32.8,1620,false,,,off,1710,false,true,false,267.6,202552,38.785324,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,19.62,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1509,12,1557232302,0.2,405,33.9,53.2,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:09.038Z,test_29-pool2.1-magcal,true,0.00,16.05,false,false,false,false,false,none,1000,1000,1500,1664,2000,32.8,1620,false,,,off,1710,false,true,false,266.8,202576,38.785324,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,16.29,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1555,12,1557232302,0.5,406,33.9,53.2,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:10.038Z,test_29-pool2.1-magcal,true,0.00,16.00,false,false,false,false,false,none,1000,1000,1500,1667,2000,345.8,1620,false,,,off,1710,false,true,false,271.5,202572,38.785328,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,15.88,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1556,12,1557232302,0.7,407,34.2,52.9,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:10.955Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1500,1687,2000,330.3,1620,false,,,off,1710,false,true,false,275.2,202576,38.785328,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,17.59,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1563,12,1557232302,0.7,408,34.7,53.2,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:11.955Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,1500,1640,2000,326.3,1620,false,,,off,1710,false,true,false,301.7,202592,38.785332,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,17.39,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1547,12,1557232302,0.8,409,35.1,52.9,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:13.005Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1500,1380,2000,329.7,1620,false,,,off,1705,false,true,false,353.5,202576,38.785336,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,16.60,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1459,12,1557232302,0.6,410,35.3,52.5,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:13.905Z,test_29-pool2.1-magcal,true,0.00,16.05,false,false,false,false,false,none,1000,1000,1500,1380,2000,343.6,1620,false,,,off,1705,false,true,false,33.5,202572,38.785336,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,15.69,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1459,12,1557232302,0.6,410,35.3,52.5,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:26:15.022Z,test_29-pool2.1-magcal,true,0.00,16.01,false,false,false,false,false,none,1000,1000,1500,1380,2000,354.9,1620,false,,,off,1705,false,true,false,60.8,202572,38.785339,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,15.22,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1459,12,1557232302,0.7,412,35.6,52.2,38.785721,-76.221619,true,38.785297,-76.221962
